[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1652344573.390000 5/12/2022, 5:36:13 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: PtFe_MH20211209.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1652350721.937,,0.000000e+000,9.997683e+000,-3.009089e-004,2.792641e-008,3,9.935415e-001,9.280687e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.024246e-003,0.000000e+000,0,1,0,
1652350855.906,,2.000000e+002,9.992390e+000,1.986513e-003,4.463286e-007,3,9.933500e-001,2.246794e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.072739e-003,0.000000e+000,0,0,0,
1652350973.343,,4.000000e+002,9.995975e+000,4.342944e-003,1.458680e-007,3,9.930679e-001,3.358735e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.755569e-003,0.000000e+000,0,0,0,
1652351127.187,,6.000000e+002,9.995974e+000,6.769283e-003,8.324002e-007,3,9.932638e-001,1.229673e-002,,,,,,,,,,,,,,32,2,4.000000e+000,5.807877e-003,0.000000e+000,0,0,0,
1652351243.937,,8.000000e+002,9.996658e+000,9.375893e-003,3.080013e-006,3,9.929210e-001,3.285034e-002,,,,,,,,,,,,,,32,2,4.000000e+000,4.440308e-003,0.000000e+000,0,0,0,
1652351362.500,,1.000000e+003,9.996828e+000,1.208956e-002,7.672043e-006,3,9.930665e-001,6.346006e-002,,,,,,,,,,,,,,32,2,4.000000e+000,5.123138e-003,0.000000e+000,0,0,0,
1652351479.546,,1.200000e+003,1.000025e+001,1.449831e-002,1.916376e-007,3,9.936116e-001,1.321793e-003,,,,,,,,,,,,,,32,2,4.000000e+000,4.818916e-003,0.000000e+000,0,1,0,
1652351601.468,,1.400000e+003,9.998026e+000,1.689482e-002,3.132038e-006,3,9.927593e-001,1.853844e-002,,,,,,,,,,,,,,32,2,4.000000e+000,4.109383e-003,0.000000e+000,0,1,0,
1652351752.640,,1.600000e+003,9.993244e+000,1.923933e-002,1.641093e-006,3,9.933556e-001,8.529885e-003,,,,,,,,,,,,,,32,2,4.000000e+000,2.388954e-003,0.000000e+000,0,1,0,
1652351872.250,,1.800000e+003,9.996914e+000,2.157746e-002,1.715377e-005,3,9.928421e-001,7.949855e-002,,,,,,,,,,,,,,32,2,4.000000e+000,5.466461e-003,0.000000e+000,0,0,0,
1652351995.734,,2.000000e+003,9.997860e+000,2.394782e-002,1.190649e-006,3,9.929304e-001,4.971844e-003,,,,,,,,,,,,,,32,2,4.000000e+000,8.909225e-003,0.000000e+000,0,0,0,
1652352117.671,,2.200000e+003,9.998978e+000,2.630127e-002,9.720117e-006,3,9.927976e-001,3.695684e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.235008e-002,0.000000e+000,0,0,0,
1652352236.156,,2.400000e+003,9.998726e+000,2.862336e-002,1.797827e-006,3,9.929289e-001,6.280979e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.510143e-002,0.000000e+000,0,1,0,
1652352358.593,,2.600000e+003,1.000010e+001,3.098527e-002,6.131049e-006,3,9.929044e-001,1.978698e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.407051e-002,0.000000e+000,0,1,0,
1652352483.453,,2.800000e+003,1.000234e+001,3.332819e-002,1.406651e-006,3,9.928904e-001,4.220604e-003,,,,,,,,,,,,,,32,2,4.000000e+000,2.648926e-002,0.000000e+000,0,1,0,
